lat,lng,flowsize,city,ucc_count,point,zone_name,zone_adcode
22.719676536830523,114.25330470256188,17575878666,CN-44-03,0,"[114.25330470256188, 22.719676536830523]",龙岗区,440307.0
22.749640239975765,114.24433368347923,15831532552,CN-44-03,0,"[114.24433368347923, 22.749640239975765]",龙岗区,440307.0
22.566451999999998,114.04997700000001,2924286839,CN-44-01,0,"[114.04997700000001, 22.566451999999998]",福田区,440304.0
22.604976081255554,113.84662214098455,627069956,CN-44-03,0,"[113.84662214098455, 22.604976081255554]",宝安区,440306.0
22.620279097130922,114.03574980786334,3628666882,CN-44-03,0,"[114.03574980786334, 22.620279097130922]",龙华区,440309.0
22.633477419494746,114.06130677053073,390993926,CN-44-03,0,"[114.06130677053073, 22.633477419494746]",龙岗区,440307.0
22.743736498750533,114.27532505250838,40298624002,CN-44-03,0,"[114.27532505250838, 22.743736498750533]",龙岗区,440307.0
21.232780162979637,110.3880447570798,17400446986,CN-44-08,0,"[110.3880447570798, 21.232780162979637]",赤坎区,440802.0
22.74466616601927,114.27765196860275,22948045172,CN-44-03,0,"[114.27765196860275, 22.74466616601927]",龙岗区,440307.0
22.77615061782396,113.81975178733842,264112130,CN-44-03,0,"[113.81975178733842, 22.77615061782396]",宝安区,440306.0
22.547456547469352,114.0847291047595,4629994496,CN-44-03,0,"[114.0847291047595, 22.547456547469352]",福田区,440304.0
22.672745973021485,113.80533247432948,8245678080,CN-44-01,0,"[113.80533247432948, 22.672745973021485]",宝安区,440306.0
22.6445543818399,114.01073334761463,18777859074,CN-44-03,0,"[114.01073334761463, 22.6445543818399]",龙华区,440309.0
23.034833572562487,113.12717880631055,39139330,CN-44-06,0,"[113.12717880631055, 23.034833572562487]",禅城区,440604.0
22.768338694066987,113.91748886942298,20309526534,CN-44-03,0,"[113.91748886942298, 22.768338694066987]",光明区,440311.0
22.676786168364277,114.00677310534263,15230300164,CN-44-03,0,"[114.00677310534263, 22.676786168364277]",龙华区,440309.0
22.729054259707183,113.89645064647505,33224385536,CN-44-01,0,"[113.89645064647505, 22.729054259707183]",光明区,440311.0
22.691749140436965,114.26160688846204,63183650816,CN-44-03,0,"[114.26160688846204, 22.691749140436965]",龙岗区,440307.0
22.631023879821708,113.83108932705687,23756060383,CN-44-03,0,"[113.83108932705687, 22.631023879821708]",宝安区,440306.0
22.60519481435227,114.13824834455318,6109602824,CN-44-03,0,"[114.13824834455318, 22.60519481435227]",龙岗区,440307.0
22.60519481435227,114.13824834455318,6109602824,CN-44-03,0,"[114.13824834455318, 22.60519481435227]",龙岗区,440307.0
28.119928863532753,112.9853043258376,12190870534,CN-43-01,0,"[112.9853043258376, 28.119928863532753]",,
23.602887085217194,114.00538667814601,7236837382,CN-44-13,0,"[114.00538667814601, 23.602887085217194]",龙门县,441324.0
22.573887822597943,113.86349198617086,19899219970,CN-44-03,0,"[113.86349198617086, 22.573887822597943]",宝安区,440306.0
22.683188351578895,114.07368051059393,22101401606,CN-44-03,0,"[114.07368051059393, 22.683188351578895]",龙华区,440309.0
22.74782380633534,113.80048281886889,28975253628,CN-44-03,0,"[113.80048281886889, 22.74782380633534]",宝安区,440306.0
22.80334219605784,113.9033700760516,13928254464,CN-44-01,0,"[113.9033700760516, 22.80334219605784]",光明区,440311.0
22.634938719494745,114.0566607705307,19221099522,CN-44-03,0,"[114.0566607705307, 22.634938719494745]",龙岗区,440307.0
22.67580716836428,114.0089044053426,24294037510,CN-44-03,0,"[114.0089044053426, 22.67580716836428]",龙华区,440309.0
23.049903763436866,113.7521171815057,107527174,CN-44-19,0,"[113.7521171815057, 23.049903763436866]",东莞市,441900.0
22.688603522635166,113.92984383043517,1761789958,CN-44-01,0,"[113.92984383043517, 22.688603522635166]",宝安区,440306.0
23.043790285695525,114.33346817609254,13303104514,CN-44-13,0,"[114.33346817609254, 23.043790285695525]",惠城区,441302.0
22.632926,113.82707099999999,6333945860,CN-44-03,0,"[113.82707099999999, 22.632926]",宝安区,440306.0
22.60977781634971,114.16164446192948,8927554740,CN-44-03,0,"[114.16164446192948, 22.60977781634971]",龙岗区,440307.0
22.614955673709787,114.13953319616644,25436674621,CN-44-03,0,"[114.13953319616644, 22.614955673709787]",龙岗区,440307.0
22.68953548250176,113.99936642448523,41747705864,CN-44-01,0,"[113.99936642448523, 22.68953548250176]",龙华区,440309.0
22.797650325789494,113.89435929851999,5572252672,CN-44-03,0,"[113.89435929851999, 22.797650325789494]",光明区,440311.0
22.56828983830058,113.50385649507223,44805507072,CN-44-20,0,"[113.50385649507223, 22.56828983830058]",中山市,442000.0
19.975494900880744,110.33474936686758,32676309502,CN-46-01,0,"[110.33474936686758, 19.975494900880744]",,
22.670271499512225,113.99683481628847,23065269258,CN-44-03,0,"[113.99683481628847, 22.670271499512225]",龙华区,440309.0
22.58700388399938,113.94327988114958,5982903302,CN-44-03,0,"[113.94327988114958, 22.58700388399938]",南山区,440305.0
22.60059345341272,113.84351159046804,4758674167,CN-44-03,0,"[113.84351159046804, 22.60059345341272]",宝安区,440306.0
19.975494900880744,110.33474936686758,16321142786,CN-46-01,0,"[110.33474936686758, 19.975494900880744]",,
22.50606866246875,113.90999115184115,31133561856,CN-44-03,0,"[113.90999115184115, 22.50606866246875]",南山区,440305.0
22.953592,112.82232699999997,13125990526,CN-44-06,0,"[112.82232699999997, 22.953592]",高明区,440608.0
22.67691316836428,114.0111028053426,8973001734,CN-44-03,0,"[114.0111028053426, 22.67691316836428]",龙华区,440309.0
